T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.149593	 	0.766159	 	0.563929	 	 -0.420969	 	0.00339259
0.148097	 	0.0417159	 	1.14999	 	 -0.159682	 	0.0154806
0.146616	 	0.545267	 	0.925095	 	 -0.239846	 	0.00991018
0.14515	 	0.602527	 	0.756517	 	 -0.330171	 	0.00416702
0.143698	 	0.176692	 	1.04189	 	 -0.24678	 	0.00859842
0.142261	 	0.099904	 	0.968283	 	 -0.238098	 	0.00538622
0.140838	 	0.135006	 	0.741009	 	 -0.0325957	 	0.00617332
0.13943	 	0.330603	 	1.2013	 	 0.0348569	 	0.0192432
0.138036	 	0.0421193	 	1.08629	 	 -0.242901	 	0.00873968
0.136655	 	0.194322	 	1.03379	 	 -0.239999	 	0.0093741
0.135289	 	0.380198	 	0.918591	 	 -0.25039	 	0.00652172
0.133936	 	0.243621	 	0.892583	 	 -0.229995	 	0.00525138
0.132597	 	0.378322	 	1.09003	 	 -0.153152	 	0.017991
0.131271	 	0.300173	 	0.919445	 	 -0.25426	 	0.00546613
0.129958	 	0.394509	 	0.787745	 	 -0.2151	 	0.00453708
0.128658	 	0.336219	 	0.783921	 	 -0.18321	 	0.0048318
0.127372	 	0.46534	 	0.846841	 	 -0.272098	 	0.00544193
0.126098	 	0.313457	 	0.894467	 	 -0.236387	 	0.00656862
0.124837	 	0.0907139	 	0.908587	 	 -0.213775	 	0.00554034
0.123589	 	0.0466325	 	1.07416	 	 -0.216114	 	0.0112887
0.122353	 	0.08072	 	0.956506	 	 -0.250479	 	0.00554678
0.121129	 	0.286501	 	1.002	 	 -0.239543	 	0.00849165
0.119918	 	0.238038	 	1.07228	 	 -0.221741	 	0.010904
0.118719	 	0.379952	 	0.859962	 	 -0.256206	 	0.00516768
0.117532	 	0.670157	 	0.738711	 	 -0.361374	 	0.00456411
0.116356	 	0.7837	 	0.792611	 	 -0.324004	 	0.00898223
0.115193	 	0.661274	 	0.727493	 	 -0.355356	 	0.00510522
0.114041	 	0.759537	 	0.691919	 	 -0.412989	 	0.00362496
0.1129	 	0.92325	 	0.697639	 	 -0.330988	 	0.00781222
0.111771	 	0.653154	 	0.535413	 	 -0.32073	 	0.00412312
0.110654	 	0.587194	 	0.640395	 	 -0.30549	 	0.00377015
0.109547	 	0.595186	 	0.787566	 	 -0.306832	 	0.00708454
0.108452	 	0.139304	 	0.774593	 	 -0.0875769	 	0.00609094
0.107367	 	0.807341	 	0.539132	 	 -0.382283	 	0.00415905
0.106294	 	0.882737	 	0.633841	 	 -0.415068	 	0.00379555
0.105231	 	0.882562	 	0.595709	 	 -0.416048	 	0.00341042
0.104178	 	0.682734	 	0.668377	 	 -0.393738	 	0.00299826
0.103137	 	0.568066	 	0.790675	 	 -0.307324	 	0.00522517
0.102105	 	0.453997	 	0.862879	 	 -0.26548	 	0.00641399
0.101084	 	0.601104	 	1.03136	 	 -0.0786061	 	0.0213528
0.100073	 	0.358631	 	0.930786	 	 -0.259136	 	0.00711937
0.0990725	 	0.375164	 	0.961231	 	 -0.245847	 	0.00847849
0.0980818	 	0.387713	 	0.994044	 	 -0.243649	 	0.00876446
0.097101	 	0.241393	 	0.960812	 	 -0.258975	 	0.00558155
0.09613	 	0.110277	 	1.35485	 	 0.324815	 	0.0356093
0.0951687	 	0.172557	 	0.929313	 	 -0.242798	 	0.00595794
0.094217	 	0.245281	 	0.833476	 	 -0.187599	 	0.00518723
0.0932748	 	0.65621	 	0.589929	 	 -0.365174	 	0.00285618
0.0923421	 	0.778551	 	0.712372	 	 -0.397774	 	0.00561578
0.0914186	 	0.759159	 	0.705835	 	 -0.388977	 	0.00603553
0.0905044	 	0.691588	 	0.597347	 	 -0.401854	 	0.00303352
0.0895994	 	0.731357	 	0.745565	 	 -0.380604	 	0.00492592
0.0887034	 	0.746207	 	0.561427	 	 -0.411285	 	0.0028128
0.0878164	 	0.662003	 	0.89955	 	 -0.23578	 	0.011731
0.0869382	 	0.516757	 	0.875006	 	 -0.280481	 	0.00621686
0.0860688	 	0.715575	 	0.693757	 	 -0.394946	 	0.00510426
0.0852081	 	0.855462	 	0.700976	 	 -0.379225	 	0.00637417
0.0843561	 	0.621248	 	0.547103	 	 -0.299804	 	0.00405892
0.0835125	 	0.874065	 	0.567007	 	 -0.406891	 	0.00324071
0.0826774	 	0.745482	 	0.662971	 	 -0.422103	 	0.00289037
0.0818506	 	0.716879	 	0.680766	 	 -0.40551	 	0.00373056
0.0810321	 	0.636081	 	0.558678	 	 -0.324958	 	0.00371073
0.0802218	 	0.830536	 	0.943559	 	 0.0730245	 	0.0213694
0.0794196	 	0.842757	 	0.771056	 	 -0.289604	 	0.00996439
0.0786254	 	0.555089	 	0.688978	 	 -0.286949	 	0.00359039
0.0778391	 	0.511489	 	0.772833	 	 -0.277801	 	0.00461417
0.0770607	 	0.315168	 	0.791853	 	 -0.171489	 	0.00524698
0.0762901	 	0.488721	 	0.841965	 	 -0.286108	 	0.00655747
0.0755272	 	0.860814	 	0.790688	 	 -0.233036	 	0.0117938
0.0747719	 	0.922092	 	0.654788	 	 -0.35943	 	0.00906008
0.0740242	 	0.940948	 	0.598403	 	 -0.358647	 	0.00389661
0.073284	 	0.847384	 	0.583883	 	 -0.43275	 	0.00284519
0.0725511	 	0.679042	 	0.66788	 	 -0.387044	 	0.00331389
0.0718256	 	0.764416	 	0.790619	 	 -0.321165	 	0.00661365
0.0711074	 	0.703891	 	0.625289	 	 -0.415072	 	0.00238562
0.0703963	 	0.726622	 	0.614263	 	 -0.422317	 	0.00249473
0.0696923	 	0.744607	 	0.62814	 	 -0.435743	 	0.00222649
0.0689954	 	0.666963	 	0.622776	 	 -0.382837	 	0.00267716
0.0683055	 	0.804255	 	0.594389	 	 -0.446882	 	0.00212637
0.0676224	 	0.715337	 	0.61137	 	 -0.418949	 	0.0024576
0.0669462	 	0.802897	 	0.588048	 	 -0.439482	 	0.00249326
