# x	|psi(x)|^2
1.37545	0.983008
0.0436484	1.47152
-0.303564	1.46949
-1.62753	0.727537
-1.14312	1.18902
1.12389	1.20381
-0.278333	1.47008
-0.278333	1.47008
-0.278333	1.47008
-0.278333	1.47008
0.145068	1.47141
0.145068	1.47141
-1.93215	0.437195
0.588304	1.44484
0.969708	1.30705
0.401381	1.46543
0.401381	1.46543
-2.02744	0.360141
-0.782494	1.39435
0.42759	1.46372
0.42759	1.46372
0.528715	1.45378
0.528715	1.45378
0.528715	1.45378
-1.46794	0.890906
0.989578	1.29533
0.5625	1.44903
-1.06546	1.2462
-1.06546	1.2462
0.181605	1.47125
0.181605	1.47125
1.93143	0.437803
1.93143	0.437803
0.602375	1.44234
1.6669	0.687507
0.128858	1.47145
-0.834732	1.37412
-0.834732	1.37412
-0.834732	1.37412
-0.834732	1.37412
-0.834732	1.37412
-0.834732	1.37412
-0.834732	1.37412
1.11366	1.21151
1.11366	1.21151
0.792472	1.39072
-0.675468	1.42662
-0.675468	1.42662
-0.666635	1.42878
-0.666635	1.42878
0.960166	1.31251
-1.03214	1.26861
-1.03214	1.26861
-1.03214	1.26861
-1.13475	1.19551
0.768414	1.39928
-0.363595	1.46738
0.724524	1.41329
0.724524	1.41329
-1.88075	0.482023
-1.88075	0.482023
0.41531	1.46456
-0.794942	1.38981
-0.794942	1.38981
0.161839	1.47135
-0.461021	1.46107
-0.461021	1.46107
-0.461021	1.46107
-0.461021	1.46107
-0.461021	1.46107
0.557537	1.44978
-1.10609	1.21713
-1.30101	1.0538
-1.30101	1.0538
0.451859	1.46185
1.15039	1.18333
-1.22806	1.11914
-0.0840632	1.47151
-1.25064	1.0994
-1.25064	1.0994
0.0674164	1.47151
0.0674164	1.47151
0.530426	1.45356
1.77755	0.577969
1.91961	0.447928
1.39075	0.968044
1.39075	0.968044
0.41759	1.46441
0.503909	1.45677
-1.53391	0.823561
-1.53391	0.823561
0.491388	1.45814
0.491388	1.45814
0.491388	1.45814
1.10023	1.22144
0.0107105	1.47152
1.12252	1.20484
-0.996563	1.29109
-0.996563	1.29109
-0.0817779	1.47151
-1.72241	0.631882
-1.72241	0.631882
-1.72241	0.631882
-1.32519	1.03121
-0.0356635	1.47152
-1.06775	1.24461
-1.06775	1.24461
-0.617766	1.43941
0.930593	1.32874
0.930593	1.32874
0.930593	1.32874
-1.60171	0.753959
-1.60171	0.753959
0.170363	1.47131
-0.440576	1.46276
0.786233	1.393
0.786233	1.393
0.786233	1.393
-1.78778	0.568154
-1.78778	0.568154
-1.78778	0.568154
-1.78778	0.568154
0.365326	1.4673
0.365326	1.4673
0.365326	1.4673
-0.231411	1.47082
-0.231411	1.47082
-0.231411	1.47082
-0.231411	1.47082
-0.231411	1.47082
-0.231411	1.47082
-1.17617	1.1627
-1.17617	1.1627
-1.17617	1.1627
1.08446	1.23284
0.264079	1.47035
0.264079	1.47035
0.264079	1.47035
-0.39837	1.4656
0.828631	1.37664
0.828631	1.37664
0.504539	1.4567
1.56848	0.788063
1.56848	0.788063
1.34731	1.01019
1.34731	1.01019
-1.07836	1.23717
-1.23202	1.11571
-1.57537	0.780993
0.728567	1.41208
-0.847428	1.36873
-1.93338	0.436149
-1.93338	0.436149
-1.93338	0.436149
0.568444	1.44811
-1.07227	1.24146
-1.07227	1.24146
-1.07227	1.24146
-0.999543	1.28927
-0.999543	1.28927
-0.999543	1.28927
1.44149	0.917591
1.44149	0.917591
1.44149	0.917591
-1.08933	1.22935
-1.12567	1.20246
-1.01471	1.27981
0.451322	1.46189
0.376753	1.46676
0.376753	1.46676
0.940795	1.32326
-1.57647	0.77986
-1.57647	0.77986
-1.57647	0.77986
-1.57647	0.77986
-1.57647	0.77986
0.358318	1.46761
0.358318	1.46761
0.358318	1.46761
0.358318	1.46761
-1.29122	1.06282
-1.29122	1.06282
1.14463	1.18785
0.991537	1.29414
-0.264561	1.47034
-0.264561	1.47034
-1.67716	0.677144
-1.67716	0.677144
0.639987	1.43484
1.33912	1.01802
-0.0262293	1.47152
-2.13706	0.282169
-0.73662	1.40963
-0.73662	1.40963
0.702407	1.4196
1.38019	0.978391
1.38019	0.978391
0.904984	1.34193
-0.779372	1.39546
0.533103	1.45321
-0.481097	1.45919
2.08727	0.31612
1.98133	0.396395
0.00702877	1.47152
-0.63466	1.43598
-1.97578	0.400893
-1.97578	0.400893
-0.217083	1.47098
-0.217083	1.47098
-0.217083	1.47098
0.652938	1.43197
0.373815	1.46691
-0.783321	1.39405
-0.783321	1.39405
-0.27315	1.47018
-0.557703	1.44975
-0.557703	1.44975
-0.557703	1.44975
-0.51289	1.45573
-0.51289	1.45573
0.577015	1.44674
0.577015	1.44674
0.577015	1.44674
0.577015	1.44674
0.491605	1.45812
0.491605	1.45812
0.491605	1.45812
-1.90253	0.462762
-1.90253	0.462762
-1.90253	0.462762
-1.90253	0.462762
-0.250445	1.47057
-2.42643	0.132767
-2.42643	0.132767
-2.42643	0.132767
-2.09831	0.308384
-0.277476	1.47009
0.104761	1.47149
0.104761	1.47149
