# VELOCITY:     AVE_POFV:        ERROR:
     4.50191 0.000437358 0.000185309
   0.0763035  0.00125082 0.000640483
     0.22891   0.0205708  0.00396966
    0.381517   0.0676397  0.00832175
    0.534124    0.114809  0.00738107
    0.686731    0.168615   0.0101145
    0.839338    0.269077   0.0236121
    0.991945    0.355299   0.0171439
     1.14455     0.43005   0.0245164
     1.29716    0.464872    0.016592
     1.44977    0.478892   0.0231083
     1.60237    0.515287   0.0164381
     1.75498    0.511803    0.026862
     1.90759    0.505451   0.0251012
     2.06019    0.482476   0.0220342
      2.2128     0.46216   0.0255251
     2.36541    0.388782   0.0217079
     2.51802    0.342544   0.0194693
     2.67062    0.250004   0.0178028
     2.82323    0.149612  0.00879663
     2.97584     0.12945   0.0101075
     3.12844    0.143167   0.0126097
     3.28105   0.0891276  0.00866257
     3.43366   0.0628208  0.00821915
     3.58626   0.0676281  0.00702886
     3.73887   0.0319238  0.00496139
     3.89148   0.0174204  0.00502148
     4.04408    0.013668  0.00308267
     4.19669  0.00707784  0.00263834
      4.3493  0.00266032  0.00100447
     4.50191 0.000662746 0.000275956
   0.0763035  0.00137816 0.000607263
     0.22891   0.0217234  0.00384981
    0.381517   0.0707219  0.00827848
    0.534124    0.120498  0.00877678
    0.686731    0.164457   0.0102112
    0.839338    0.259981   0.0236126
    0.991945    0.361954   0.0171625
     1.14455    0.428473   0.0228159
     1.29716    0.469269    0.015979
     1.44977    0.481978   0.0216628
     1.60237    0.500521   0.0208677
     1.75498    0.506523   0.0254569
     1.90759    0.510848   0.0238814
     2.06019    0.493192   0.0229182
      2.2128    0.454315   0.0248782
     2.36541    0.386441   0.0202832
     2.51802    0.346968   0.0185745
     2.67062    0.254941    0.017202
     2.82323    0.153958  0.00917902
     2.97584    0.128044  0.00948287
     3.12844    0.141203   0.0118609
     3.28105   0.0873076   0.0082328
     3.43366   0.0624876  0.00763882
     3.58626   0.0649969  0.00700196
     3.73887   0.0301268  0.00492171
     3.89148   0.0164838  0.00474935
     4.04408   0.0127155  0.00300601
     4.19669  0.00659829  0.00249309
      4.3493  0.00269132 0.000933205
     4.50191  0.00169237  0.00102472
   0.0763035  0.00375774  0.00236772
     0.22891   0.0216565  0.00359374
    0.381517    0.069504  0.00781566
    0.534124    0.117592  0.00865949
    0.686731    0.166186  0.00967573
    0.839338    0.262449    0.022167
    0.991945    0.364171   0.0161609
     1.14455    0.425848   0.0214452
     1.29716    0.469984   0.0149297
     1.44977    0.494296   0.0234607
     1.60237    0.495059   0.0201787
     1.75498     0.49917   0.0247989
     1.90759    0.516749   0.0230069
     2.06019    0.490945   0.0215003
      2.2128    0.445363   0.0247782
     2.36541    0.391003   0.0194373
     2.51802    0.342733   0.0178125
     2.67062    0.260297   0.0168685
     2.82323    0.154907  0.00861597
     2.97584    0.131636  0.00950684
     3.12844    0.137309    0.011692
     3.28105   0.0858819  0.00780641
     3.43366   0.0615294  0.00718941
     3.58626   0.0636469  0.00666404
     3.73887   0.0286907  0.00479854
     3.89148   0.0156296  0.00450889
     4.04408   0.0125413  0.00281066
     4.19669  0.00680761  0.00233565
      4.3493  0.00388717  0.00144684
     4.50191  0.00337954  0.00188984
   0.0763035  0.00403292  0.00223567
     0.22891   0.0268482  0.00605143
    0.381517   0.0707628  0.00742787
    0.534124    0.116261  0.00821998
    0.686731    0.166942  0.00910052
    0.839338    0.270056   0.0220481
    0.991945    0.365446   0.0152011
     1.14455    0.420121   0.0208555
     1.29716    0.472475   0.0142029
     1.44977    0.496705   0.0221178
     1.60237    0.497088   0.0190193
     1.75498     0.49709   0.0233361
     1.90759    0.514562   0.0216727
     2.06019    0.482541   0.0217368
      2.2128    0.435959   0.0249502
     2.36541    0.387964   0.0184584
     2.51802    0.337756   0.0173804
     2.67062    0.264332   0.0162895
     2.82323    0.158014  0.00861958
     2.97584    0.135107   0.0095254
     3.12844    0.136693   0.0109775
     3.28105   0.0873059  0.00744727
     3.43366   0.0614342   0.0067407
     3.58626   0.0623273  0.00637686
     3.73887   0.0295728    0.004579
     3.89148   0.0179329  0.00477933
     4.04408   0.0125936  0.00263548
     4.19669  0.00770179  0.00235462
      4.3493   0.0041846  0.00138665
     4.50191  0.00343376   0.0017725
   0.0763035  0.00383495  0.00211291
     0.22891   0.0268268   0.0056955
    0.381517    0.069518  0.00709448
    0.534124    0.118255  0.00797477
    0.686731    0.177899   0.0136513
    0.839338    0.272192   0.0208544
    0.991945    0.369759   0.0149061
     1.14455    0.416078   0.0200167
     1.29716    0.462362   0.0165817
     1.44977    0.490165   0.0217622
     1.60237    0.499152   0.0180121
     1.75498    0.494751   0.0220803
     1.90759    0.519884   0.0210412
     2.06019    0.478569    0.020818
      2.2128     0.43031   0.0241136
     2.36541    0.388356   0.0173768
     2.51802    0.330701   0.0177323
     2.67062    0.269265   0.0160611
     2.82323    0.165176   0.0106813
     2.97584    0.137385  0.00923342
     3.12844    0.139489   0.0106821
